isbn,publication_year,category,book_name,author,price_in_euros,publisher,published_country,language,no_of_pages
9781864708790,2022,computing,digital architecture in contemporary china,Weiguo Xu,25.31,The Images Publishing Group,Australia,English,300.0
9780957576827,2022,computing,britsoft,Alex Wiltshire,22.2,Thames and Hudson Ltd,England,English,424.0
9781800379947,2022,computing,"data governance in ai, fintech and legaltech",Joseph Lee,120.39,Edward Elgar Publishing,England,English,336.0
9781324006572,2022,computing,journey of the mind,Ogas Ogi,17.99,W. W. Norton & Company,New York (State),English,415.0
9781803920931,2022,computing,the political economy and feasibility of bitcoin and cryptocurrencies,J Pack Spencer,92.3,Edward Elgar Publishing,England,English,272.0
9781800888081,2022,computing,advanced introduction to artificial intelligence in healthcare,Davenport H Thomas,87.36,Edward Elgar Publishing,England,English,168.0
9780300261479,2021,computing,behind the screen,Roberts Sarah T,14.16,Yale University Press,Connecticut,English,266.0
9781350211254,2022,computing,performing for motion capture,Dower John,17.27,Bloomsbury Publishing (UK),England,English,240.0
9780957576834,2022,computing,the bitmap brothers,Duncan Harris,22.2,Thames and Hudson Ltd,England,English,360.0
9781637740798,2022,computing,marketing artificial intelligence,Paul Roetzer,17.19,BenBella Books,Texas,English,240.0
9780711264274,2021,computing,my brain has too many tabs open,Goodin Tanya,12.99,White Lion Publishing,England,English,224.0
9781800412354,2022,computing,multimodal literacies in young emergent bilinguals,Ann Brown Sally,100.58,Channel View Publications,England,English,344.0
9780323851282,2022,computing,computers as components,Marilyn Wolf,62.99,Elsevier Science,Netherlands,English,560.0
9780691177625,2022,computing,mathletics,L Wayne Winston,16.99,Princeton University Press,New Jersey,English,608.0
9780253060495,2022,computing,cultural netizenship,James Yeku,30.19,Indiana University Press,Indiana,English,292.0
9780253062260,2022,computing,the digital evangelicals,Cooper Travis Warren,28.7,Indiana University Press,Indiana,English,378.0
9781948062978,2022,computing,"robot, take the wheel",Jason Torchinsky,14.2,Apollo Publishers,California,English,244.0
9781098104351,2021,computing,financial theory with python,Hilpisch J Yves,27.78,O'Reilly Media,Massachusetts,English,192.0
9781350231481,2022,computing,weibo feminism,Aviva Wei Xue,18.32,Bloomsbury Publishing (UK),England,English,224.0
9783869931142,2022,computing,elden ring,Future Press,35.19,Future Press,Germany,English,512.0
9781933820842,2022,computing,life and death design,Katie Swindler,20.99,Rosenfeld Media,New York (State),English,248.0
9781933820538,2021,computing,surveys that work,Caroline Jarrett,40.56,Rosenfeld Media,New York (State),English,368.0
9780323995481,2022,computing,essential matlab for engineers and scientists,Brian D Hahn,43.62,Elsevier Science,England,English,432.0
9781636710648,2022,computing,the united states government internet directory 2022,Mary Meghan Ryan,57.99,Bernan Press,Maryland,English,584.0
9781501762383,2022,computing,the united states of anonymous,Jeff Kosseff,21.65,Cornell University Press,New York (State),English,328.0
9781781301180,2022,computing,inspiring walt disney,Collection Wallace,13.99,Bloomsbury Publishing (UK),England,English,112.0
9780691205717,2021,computing,what makes us smart,Gershman J Samuel,20.99,Princeton University Press,New Jersey,English,224.0
9780137653577,2022,computing,captain code,Ben Forta,16.99,Pearson Education,Massachusetts,English,400.0
9781787398986,2021,computing,joy of photoshop,Fridman James,11.56,Welbeck Publishing,England,English,192.0
9780520379688,2021,computing,redeem all,Corrina Laughlin,19.48,University of California Press,California,English,210.0
9781800880771,2022,computing,regulatory insights on artificial intelligence,Findlay Mark,115.45,Edward Elgar Publishing,England,English,304.0
9781780175829,2022,computing,the autonomous enterprise,Burnett Sarah,23.99,BCS Learning & Development Limited,England,English,150.0
9781441923226,2010,computing,all of statistics : a concise course in statistical inference,Wasserman,43.64,Springer New York,New York (State),English,442.0
9780141987057,2021,computing,calling bullshit,Bergstrom Carl T,9.99,Penguin Books Ltd,England,English,336.0
9780753559017,2021,computing,ai 2041,KaiFu Lee,12.53,Ebury Publishing,England,English,368.0
9781789385519,2022,computing,nostalgia and videogame music,E Rone Vincent,75.79,Intellect Books,England,English,270.0
9781847942906,2021,computing,exponential,Azeem Azhar,15.58,Random House,England,English,384.0
9780128229613,2022,computing,applied numerical methods for chemical engineers,Mostoufi Navid,61.29,Elsevier Science,Netherlands,English,504.0
9781098121457,2022,computing,enterprise architecture for digital business,Geng Lin,22.69,O'Reilly Media,Massachusetts,English,120.0
9780751584202,2022,crime,the ink black heart,Galbraith Robert,18.99,"Little, Brown",England,English,1012.0
9780241988244,2022,crime,the man who died twice,Osman Richard,8.66,Penguin Books Ltd,United Kingdom,English,422.0
9781472286673,2022,crime,psalms for the end of the world,Cole Haddon,15.99,Headline Publishing Group,England,English,528.0
9781974734276,2022,crime,spy x family. vol. 8,Endo Tatsuya,8.67,VIZ Media LLC,California,English,216.0
9780552177528,2022,crime,better off dead,Child Lee,8.62,Transworld,England,English,410.0
9780241988268,2021,crime,the thursday murder club,Osman Richard,8.62,Penguin Books Ltd,United Kingdom,English,389.0
9781408726600,2022,crime,verity,Colleen Hoover,7.99,"Little, Brown",England,English,321.0
9781913393441,2022,crime,case study,Burnet Graeme Macrae,9.99,Saraband,England,English,288.0
9781474612630,2022,crime,murder before evensong,Coles Richard,12.73,Orion,England,English,224.0
9780241544228,2022,crime,the venice train,Georges Simenon,8.67,Penguin Books Ltd,England,English,192.0
9780751583076,2022,crime,1979,McDermid Val,5.37,"Little, Brown",England,English,451.0
9781784708542,2022,crime,the shadows of men,Abir Mukherjee,8.67,Random House,England,English,337.0
9781529340419,2022,crime,the foot soldiers,Gerald Seymour,14.37,Hodder & Stoughton,England,English,422.0
9781788165334,2022,crime,the twyford code,Hallett Janice,8.99,Profile,England,English,392.0
9780008196554,2022,crime,a murder is announced,Agatha Christie,8.67,HarperCollins Publishers,England,English,310.0
9780008196639,2022,crime,sleeping murder,Agatha Christie,6.99,HarperCollins Publishers,England,English,247.0
9780571372324,2022,crime,a certain hunger,Chelsea G Summers,8.67,Faber & Faber,England,English,240.0
9780241457467,2022,crime,unsettled ground,Claire Fuller,8.67,Penguin Books Ltd,United Kingdom,English,286.0
9780241994535,2022,crime,silverview,Carr John Le,8.5,Penguin Books Ltd,United Kingdom,English,255.0
9781409181682,2022,crime,the maidens,Alex Michaelides,6.3,Orion,England,English,360.0
9781529047356,2022,crime,the lamplighters,Emma Stonex,7.99,Pan Macmillan,England,English,357.0
9780241512425,2022,crime,the bullet that missed,Osman Richard,15.58,Penguin Books Ltd,United Kingdom,English,412.0
9781405930253,2021,crime,anxious people,Backman Fredrik,8.67,Penguin Books Ltd,England,English,406.0
9781788165303,2021,crime,the appeal,Hallett Janice,8.67,Profile,England,English,464.0
9781786481863,2016,crime,the crossing places,Elly Griffiths,6.3,Quercus Publishing,England,English,314.0
9781529113396,2022,crime,bullet train,Isaka Kotaro,8.67,Random House,England,English,384.0
9781529307092,2022,crime,the last thing to burn,Dean Will,6.3,Hodder & Stoughton,England,English,247.0
9780141389509,2012,crime,dr jekyll and mr hyde,Louis Robert Stevenson,6.38,Penguin Books Ltd,England,English,110.0
9781529354324,2022,crime,overboard,Paretsky Sara,13.99,Hodder & Stoughton,England,English,382.0
9780007527502,2013,crime,murder on the orient express,Agatha Christie,6.99,HarperCollins Publishers,England,English,274.0
9780751577280,2022,crime,rabbit hole,Billingham Mark,6.3,"Little, Brown",England,English,434.0
9781529110531,2022,crime,a change of circumstance,Hill Susan,8.5,Random House,United Kingdom,English,375.0
